mal_id,title,title_english,title_japanese,title_synonyms,year,season,season_label,score,scored_by,rank,popularity,members,favorites,episodes,type,status,airing,approved,duration,rating,source,broadcast,aired_from,aired_to,trailer_url,is_hentai,is_japanese,studios,studios_count,producers,producers_count,licensors,licensors_count,genres,genres_count,themes,themes_count,demographics,demographics_count,synopsis_short,background_short,url
18245,White Album 2,White Album 2,WHITE ALBUM [ホワイトアルバム] 2,White Album2|WA2,2013,fall,Fall 2013,7.59,119421,1806,1059,267963,3519,13,TV,Finished Airing,False,True,23 min per ep,PG-13 - Teens 13 or older,Visual novel,Sundays at 01:30 (JST),2013-10-06T00:00:00+00:00,2013-12-29T00:00:00+00:00,,False,True,Satelight,1,Starchild Records,1,,0,Drama|Romance,2,Love Polygon|Music,2,,0,"Haruki Kitahara's light music club is on the verge of disbanding. At this rate, the third year's dream of performing at the school festival would never be realized. However, as his exhausted fingers d...",,https://myanimelist.net/anime/18245/White_Album_2
18179,Yowamushi Pedal,Yowamushi Pedal,弱虫ペダル,Yowapeda,2013,fall,Fall 2013,7.92,122724,881,1150,248372,2330,38,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Manga,Tuesdays at 01:35 (JST),2013-10-08T00:00:00+00:00,2014-07-01T00:00:00+00:00,https://www.youtube-nocookie.com/embed/tzkiTvJWKtg?enablejsapi=1&wmode=opaque&autoplay=1,False,True,TMS Entertainment,1,TV Tokyo|MediaNet|TOHO animation|Akita Shoten,4,Discotek Media,1,Sports,1,Racing,1,Shounen,1,"Sakamichi Onoda is a cheerful otaku looking to join his new school's anime club, eager to finally make some friends. Unfortunately, the club has been disbanded and he takes it upon himself to revive i...","Episode 1 was previewed at a screening in Tokyo on September 28, 2013. Regular broadcasting began on October 8, 2013.",https://myanimelist.net/anime/18179/Yowamushi_Pedal
19703,Kyousou Giga (TV),Kyousougiga,京騒戯画,Kyousogiga (TV),2013,fall,Fall 2013,7.69,56359,1468,1343,210602,2058,10,TV,Finished Airing,False,True,25 min per ep,PG-13 - Teens 13 or older,Original,Thursdays at 01:30 (JST),2013-10-10T00:00:00+00:00,2013-12-19T00:00:00+00:00,https://www.youtube-nocookie.com/embed/Tafsb_RMR_U?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Toei Animation,1,Asatsu DK|Dwango|Sony Music Communications|Bandai Channel|Aoni Production,5,Discotek Media,1,Action|Fantasy,2,,0,,0,"Long ago, there was a monk named Myoue who could bring anything he drew to life. He quietly lived with his wife Koto—a black rabbit in human form—and their three children: Yakushimaru, Kurama, and Yas...",,https://myanimelist.net/anime/19703/Kyousou_Giga_TV
19291,Pokemon XY,Pokémon the Series: XY,ポケットモンスターXY,Pocket Monsters XY|Pokémon XY,2013,fall,Fall 2013,7.48,121662,2256,1426,197200,743,93,TV,Finished Airing,False,True,23 min per ep,PG - Children,Game,Thursdays at 19:00 (JST),2013-10-17T00:00:00+00:00,2015-10-22T00:00:00+00:00,https://www.youtube-nocookie.com/embed/hIXdyRpuSLc?enablejsapi=1&wmode=opaque&autoplay=1,False,True,OLM,1,TV Tokyo,1,The Pokemon Company International,1,Action|Adventure|Comedy|Fantasy,4,,0,Kids,1,"Satoshi and Pikachu have arrived in Lumiose City of the illustrious Kalos region to capture more Pokémon and continue their journey toward becoming the very best. Meanwhile, a genius inventor named Ci...",,https://myanimelist.net/anime/19291/Pokemon_XY
18195,Little Busters! Refrain,Little Busters! ~Refrain~,リトルバスターズ！～Refrain～,LB!: Refrain,2013,fall,Fall 2013,8.17,81365,495,1576,177171,2152,13,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Visual novel,Saturdays at 20:30 (JST),2013-10-05T00:00:00+00:00,2013-12-28T00:00:00+00:00,https://www.youtube-nocookie.com/embed/xxMfedk54z0?enablejsapi=1&wmode=opaque&autoplay=1,False,True,J.C.Staff,1,Warner Bros. Japan|Showgate,2,Sentai Filmworks,1,Comedy|Drama|Romance,3,School,1,,0,"Following the Little Busters after they lost their first baseball game, the team decides to have a pancake party. It has been almost one semester since the return of Kyousuke Natsume. As usual, Riki N...",,https://myanimelist.net/anime/18195/Little_Busters_Refrain
18001,Freezing Vibration,Freezing Vibration,フリージング ヴァイブレーション,Freezing Season 2,2013,fall,Fall 2013,6.69,91974,6598,1583,175765,209,12,TV,Finished Airing,False,True,23 min per ep,R+ - Mild Nudity,Manga,Fridays at 21:30 (JST),2013-10-04T00:00:00+00:00,2013-12-20T00:00:00+00:00,https://www.youtube-nocookie.com/embed/V5NefFZiaQc?enablejsapi=1&wmode=opaque&autoplay=1,False,True,A.C.G.T.,1,Media Factory|S-Wood|Kill Time Communication,3,Funimation,1,Action|Drama|Romance|Sci-Fi|Ecchi,5,Harem|Military|Super Power,3,Seinen,1,"Ever since the 10th NOVA clash, the Chevalier had concluded that the NOVA have been appearing at a steadier rate and they are losing more Pandoras than they can produce. Their solution is the E-Pandor...","Freezing Vibration adapts content from volumes 7-14 of the manga it is based on, with an altered order of events.",https://myanimelist.net/anime/18001/Freezing_Vibration
18893,Aoki Hagane no Arpeggio: Ars Nova,Arpeggio of Blue Steel -Ars Nova-,蒼き鋼のアルペジオ ‐アルス・ノヴァ‐,Aoki Hagane no Arpeggio: Ars Nova,2013,fall,Fall 2013,7.34,71599,2870,1722,157093,985,12,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Manga,Tuesdays at 02:55 (JST),2013-10-08T00:00:00+00:00,2013-12-24T00:00:00+00:00,https://www.youtube-nocookie.com/embed/zQlK0kZgJeY?enablejsapi=1&wmode=opaque&autoplay=1,False,True,SANZIGEN,1,Sotsu|KlockWorx|flying DOG|Ultra Super Pictures|Showgate|Shounen Gahousha,6,Discotek Media|Crunchyroll,2,Action|Sci-Fi,2,,0,Seinen,1,"In the year 2039, the drastic effects of global warming have caused sea levels to rise, resulting in major loss of land. To ensure humanity learns its lesson, a fleet of powerful warships equipped wit...","Episode 1 was previewed at a screening in Oosaka on September 21, 2013. Regular broadcasting began on October 8, 2013.",https://myanimelist.net/anime/18893/Aoki_Hagane_no_Arpeggio__Ars_Nova
19151,Walkure Romanze,,ワルキューレロマンツェ,Valkyrie Romanze|Walkure Romance|Walroma,2013,fall,Fall 2013,6.3,57309,9143,1788,150456,193,12,TV,Finished Airing,False,True,23 min per ep,R+ - Mild Nudity,Visual novel,Mondays at 00:30 (JST),2013-10-07T00:00:00+00:00,2013-12-23T00:00:00+00:00,https://www.youtube-nocookie.com/embed/XUwLvFetyLc?enablejsapi=1&wmode=opaque&autoplay=1,False,True,8bit,1,Frontier Works|Lantis|Pony Canyon|AT-X|KlockWorx,5,,0,Romance|Sports|Ecchi,3,Harem|School,2,,0,"Taking place at Winford Academy located in an old town called Helen's Hill, the story is all about knights and the sport of jousting. At this school, students learn how to become knights, ride horses ...",,https://myanimelist.net/anime/19151/Walkure_Romanze
19365,Samurai Flamenco,Samurai Flamenco,サムライフラメンコ,Samumenco,2013,fall,Fall 2013,6.89,49453,5365,1914,138247,905,22,TV,Finished Airing,False,True,23 min per ep,R - 17+ (violence & profanity),Original,Fridays at 01:20 (JST),2013-10-11T00:00:00+00:00,2014-03-28T00:00:00+00:00,https://www.youtube-nocookie.com/embed/uRLVNBsgPok?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Manglobe,1,Aniplex|Dentsu|Movic|Fuji TV|Kyoraku Industrial Holdings|Hobibox|DeNA,7,Aniplex of America,1,Action|Comedy,2,Adult Cast|Parody|Super Power,3,,0,"""A hero will never give up, never hide, never be defeated and never accept evil!""  Firmly believing these words, Masayoshi Hazama has been obsessed with superhero shows since childhood. By day, he ear...",Samurai Flamenco first aired on the noitaminA programming block which was then simulcast by Crunchyroll. A mobile phone game adaptation is also available for both iPhone and Android.,https://myanimelist.net/anime/19365/Samurai_Flamenco
18497,Yozakura Quartet: Hana no Uta,,夜桜四重奏 ～ハナノウタ～,,2013,fall,Fall 2013,7.45,38906,2393,1968,132479,451,13,TV,Finished Airing,False,True,23 min per ep,PG-13 - Teens 13 or older,Manga,Sundays at 23:30 (JST),2013-10-06T00:00:00+00:00,2013-12-29T00:00:00+00:00,https://www.youtube-nocookie.com/embed/me1ya1EFzsc?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Tatsunoko Production,1,,0,,0,Action|Comedy|Fantasy,3,Mythology|Urban Fantasy,2,Shounen,1,"Hundreds of years ago, the borders between the worlds of humans and youkai temporarily overlapped, resulting in many residents of both crossing over to the other side. In the years since this event, t...","Episode 1 was previewed at a screening in Tokyo on September 28, 2013. Regular broadcasting began on October 6, 2013.",https://myanimelist.net/anime/18497/Yozakura_Quartet__Hana_no_Uta
